country_code,country_name,year,gdp
US,United States,1998,9062817000000.0
US,United States,1999,9631172000000.0
US,United States,2000,10250952000000.0
US,United States,2001,10581929000000.0
US,United States,2002,10929108000000.0
US,United States,2003,11456450000000.0
US,United States,2004,12217196000000.0
US,United States,2005,13039197000000.0
US,United States,2006,13815583000000.0
US,United States,2007,14474228000000.0
US,United States,2008,14769862000000.0
US,United States,2009,14478067000000.0
US,United States,2010,15048971000000.0
US,United States,2011,15599732000000.0
US,United States,2012,16253970000000.0
US,United States,2013,16880683000000.0
US,United States,2014,17608138000000.0
US,United States,2015,18295019000000.0
US,United States,2016,18804913000000.0
US,United States,2017,19612102000000.0
US,United States,2018,20656516000000.0
US,United States,2019,21539982000000.0
US,United States,2020,21354105000000.0
US,United States,2021,23681171000000.0
US,United States,2022,26006893000000.0
US,United States,2023,27720709000000.0
DE,Germany,1998,2247760364565.97
DE,Germany,1999,2213873468586.88
DE,Germany,2000,1966980701145.1
DE,Germany,2001,1966381496641.73
DE,Germany,2002,2102350798305.89
DE,Germany,2003,2534715518349.01
DE,Germany,2004,2852317768061.78
DE,Germany,2005,2893393187361.87
DE,Germany,2006,3046308753670.58
DE,Germany,2007,3484056680854.91
DE,Germany,2008,3808786022312.5
DE,Germany,2009,3479800820863.28
DE,Germany,2010,3468154343000.01
DE,Germany,2011,3824828563521.41
DE,Germany,2012,3597896500945.31
DE,Germany,2013,3808086291482.36
DE,Germany,2014,3965800686309.79
DE,Germany,2015,3423568450957.03
DE,Germany,2016,3537784107980.55
DE,Germany,2017,3763092263752.95
DE,Germany,2018,4052008447223.53
DE,Germany,2019,3957208055215.68
DE,Germany,2020,3940142541354.1
DE,Germany,2021,4348297440387.53
DE,Germany,2022,4163596357879.39
DE,Germany,2023,4525703903627.53
FR,France,1998,1496906382032.47
FR,France,1999,1486915879701.93
FR,France,2000,1360959069477.49
FR,France,2001,1370376677298.86
FR,France,2002,1492427756382.43
FR,France,2003,1835095983049.09
FR,France,2004,2109792297237.03
FR,France,2005,2192146403028.17
FR,France,2006,2317861544690.82
FR,France,2007,2655816911866.56
FR,France,2008,2926802941585.86
FR,France,2009,2700075882518.98
FR,France,2010,2646230027988.34
FR,France,2011,2870408553990.28
FR,France,2012,2683007095787.23
FR,France,2013,2816077607875.26
FR,France,2014,2861236112552.42
FR,France,2015,2442483452642.5
FR,France,2016,2470407619777.13
FR,France,2017,2588868323334.71
FR,France,2018,2781576320884.39
FR,France,2019,2722793515171.76
FR,France,2020,2647926055110.05
FR,France,2021,2966433692008.09
FR,France,2022,2796302210398.84
FR,France,2023,3051831611384.76
CH,Switzerland,1998,303459014346.806
CH,Switzerland,1999,297873643323.126
CH,Switzerland,2000,279216033870.204
CH,Switzerland,2001,286582672434.226
CH,Switzerland,2002,309301422430.386
CH,Switzerland,2003,362075086507.76
CH,Switzerland,2004,403912891033.374
CH,Switzerland,2005,418284865884.998
CH,Switzerland,2006,441634672196.523
CH,Switzerland,2007,490740715594.802
CH,Switzerland,2008,567267767519.158
CH,Switzerland,2009,554212916092.271
CH,Switzerland,2010,598851028906.58
CH,Switzerland,2011,715888126682.396
CH,Switzerland,2012,686420221557.99
CH,Switzerland,2013,706234937370.968
CH,Switzerland,2014,726537808338.0
CH,Switzerland,2015,694118186379.628
CH,Switzerland,2016,687895460902.713
CH,Switzerland,2017,695200833086.499
CH,Switzerland,2018,725568717468.001
CH,Switzerland,2019,721369112726.724
CH,Switzerland,2020,741999406005.627
CH,Switzerland,2021,813408787222.499
CH,Switzerland,2022,818426550206.45
CH,Switzerland,2023,884940402230.409
SE,Sweden,1998,270889570937.999
SE,Sweden,1999,274320415375.678
SE,Sweden,2000,262905197441.662
SE,Sweden,2001,242499249692.616
SE,Sweden,2002,267373345246.531
SE,Sweden,2003,334074051172.972
SE,Sweden,2004,384547211147.247
SE,Sweden,2005,391690329314.475
SE,Sweden,2006,422530427475.536
SE,Sweden,2007,490050156832.574
SE,Sweden,2008,514616528348.834
SE,Sweden,2009,434313804907.366
SE,Sweden,2010,492753255885.718
SE,Sweden,2011,570541353128.724
SE,Sweden,2012,549742183874.355
SE,Sweden,2013,584128116410.29
SE,Sweden,2014,577730245154.162
SE,Sweden,2015,501698263620.663
SE,Sweden,2016,514218206628.325
SE,Sweden,2017,536083940228.684
SE,Sweden,2018,551312498430.164
SE,Sweden,2019,532169294165.94
SE,Sweden,2020,545147614972.141
SE,Sweden,2021,637186904843.636
SE,Sweden,2022,579895717343.956
SE,Sweden,2023,584960475767.32
GB,United Kingdom,1998,1653694932096.72
GB,United Kingdom,1999,1687830448147.55
GB,United Kingdom,2000,1665534876683.31
GB,United Kingdom,2001,1649827263567.01
GB,United Kingdom,2002,1785729916067.15
GB,United Kingdom,2003,2054422857142.86
GB,United Kingdom,2004,2421525082387.4
GB,United Kingdom,2005,2543180000000.0
GB,United Kingdom,2006,2708441582336.71
GB,United Kingdom,2007,3090510204081.63
GB,United Kingdom,2008,2929411764705.88
GB,United Kingdom,2009,2412840006231.5
GB,United Kingdom,2010,2485482596184.71
GB,United Kingdom,2011,2663805834828.07
GB,United Kingdom,2012,2707089726614.64
GB,United Kingdom,2013,2784853502534.29
GB,United Kingdom,2014,3064708247921.43
GB,United Kingdom,2015,2927911140916.73
GB,United Kingdom,2016,2689106566899.61
GB,United Kingdom,2017,2680148052335.3
GB,United Kingdom,2018,2871340347581.79
GB,United Kingdom,2019,2851407164907.81
GB,United Kingdom,2020,2696778386607.65
GB,United Kingdom,2021,3143323050707.26
GB,United Kingdom,2022,3114042471144.39
GB,United Kingdom,2023,3380854520809.54
GR,Greece,1998,139612812175.718
GR,Greece,1999,137131371955.307
GR,Greece,2000,125760166224.805
GR,Greece,2001,132050474720.03
GR,Greece,2002,150253800085.865
GR,Greece,2003,196930509813.384
GR,Greece,2004,234979615898.225
GR,Greece,2005,242315668619.405
GR,Greece,2006,269073415333.676
GR,Greece,2007,314226996944.108
GR,Greece,2008,351121399546.485
GR,Greece,2009,326829054686.306
GR,Greece,2010,296417644404.034
GR,Greece,2011,283228079776.041
GR,Greece,2012,238841140018.233
GR,Greece,2013,236556279640.705
GR,Greece,2014,233911581521.062
GR,Greece,2015,194567373678.099
GR,Greece,2016,193097239005.87
GR,Greece,2017,200381103984.298
GR,Greece,2018,213298873494.394
GR,Greece,2019,207305649887.019
GR,Greece,2020,191362985554.861
GR,Greece,2021,218303801895.326
GR,Greece,2022,218880566444.349
GR,Greece,2023,243498333237.802
IT,Italy,1998,1272729786996.77
IT,Italy,1999,1255004736463.98
IT,Italy,2000,1149661363439.38
IT,Italy,2001,1172041488805.87
IT,Italy,2002,1281746271196.04
IT,Italy,2003,1582930016538.82
IT,Italy,2004,1812808753294.75
IT,Italy,2005,1864982261286.85
